sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,package_color,package_size,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,videoid,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
1372301,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Fanta Orange 2L,1,,,0,/f/a/fanta_2.jpg,Fanta Orange 2L,Coca-Cola,,Fanta Orange 2L,Fanta Orange 2L,Fanta Orange 2L,,,Use config,Use config,Fanta Orange 2L,,,Block after Info Column,,,,2.49,0,Fanta Orange 2L,/f/a/fanta_2.jpg,Fanta Orange 2L,,,,1,2,/f/a/fanta_2.jpg,Fanta Orange 2L,2016-12-05 15:44,fanta-orange-2l,fanta-orange-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/f/a/fanta_2.jpg,Fanta Orange 2L,1,0
2494921,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Canada Dry Club Soda 2 L,1,,,0,/c/a/canada-dry-club-soda-108829.jpg,,Canada Dry,,Canada Dry Club Soda 2 L,Canada Dry Club Soda 2 L,Canada Dry Club Soda 2 L,,,Use config,Use config,Canada Dry Club Soda 2 L,,,Block after Info Column,,,,2.29,0,Canada Dry Club Soda 2 L,/c/a/canada-dry-club-soda-108829.jpg,,,,,1,2,/c/a/canada-dry-club-soda-108829.jpg,,2015-08-26 22:25,club-soda-2-l,club-soda-2-l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/a/canada-dry-club-soda-108829.jpg,Club Soda 2 L,1,0
6007578,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Barq's Root Beer 2L,1,,,0,/4/1/41g0y3tp.jpg,Bargs Root Beer 2L,Coca-Cola,,Bargs Root Beer 2L,Bargs Root Beer 2L,Bargs Root Beer 2L,,,Use config,Use config,Barq's Root Beer 2L,,,Block after Info Column,,,,2.49,0,Barq's Root Beer 2L,/4/1/41g0y3tp.jpg,Bargs Root Beer 2L,,,,1,2,/4/1/41g0y3tp.jpg,Bargs Root Beer 2L,2017-11-26 15:09,bargs-root-beer-2l,bargs-root-beer-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/4/1/41g0y3tp.jpg,Bargs Root Beer 2L,1,0
7544680,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Waist WatcherDiet Ginger Ale 2L,1,,,0,/w/_/w_dietgingerale.png,,Waist Watchers,,Waist Watchers Diet Ginger Ale 2L,Waist Watchers Diet Ginger Ale 2L,Waist Watchers Diet Ginger Ale 2L,,,Use config,Use config,Waist WatcherDiet Ginger Ale 2L,,,Block after Info Column,,,,2.79,0,Waist WatcherDiet Ginger Ale 2L,/w/_/w_dietgingerale.png,,,,,1,2,/w/_/w_dietgingerale.png,,2015-08-26 22:25,waist-watchers-diet-ginger-ale-2l,waist-watchers-diet-ginger-ale-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/w/_/w_dietgingerale.png,Waist Watchers Diet Ginger Ale 2L,1,0
5895281,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Waist WatcherDiet Raspberry Ginger Ale 2L,1,,,0,/w/_/w_dietraspberrygingerale.png,,Waist Watchers,,Waist Watchers Diet Raspberry Ginger Ale 2L,Waist Watchers Diet Raspberry Ginger Ale 2L,Waist Watchers Diet Raspberry Ginger Ale 2L,,,Use config,Use config,Waist WatcherDiet Raspberry Ginger Ale 2L,,,Block after Info Column,,,,2.79,0,Waist WatcherDiet Raspberry Ginger Ale 2L,/w/_/w_dietraspberrygingerale.png,,,,,1,2,/w/_/w_dietraspberrygingerale.png,,2015-08-26 22:25,waist-watchers-diet-raspberry-ginger-ale-2l,waist-watchers-diet-raspberry-ginger-ale-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/w/_/w_dietraspberrygingerale.png,Waist Watchers Diet Raspberry Ginger Ale 2L,1,0
9266301,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Waist WatcherDiet Orange 2L,1,,,0,/4/5/458390.jpg,,Waist Watchers,,Waist Watchers Diet Orange 2L,Waist Watchers Diet Orange 2L,Waist Watchers Diet Orange 2L,,,Use config,Use config,Waist WatcherDiet Orange 2L,,,Block after Info Column,,,,2.79,0,Waist WatcherDiet Orange 2L,/4/5/458390.jpg,,,,,1,2,/4/5/458390.jpg,,2015-08-26 22:25,waist-watchers-diet-orange-2l,waist-watchers-diet-orange-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/4/5/458390.jpg,Waist Watchers Diet Orange 2L,1,0
1025457,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Waist WatcherDiet Black Cherry 2L,1,,,0,/4/1/4144xjkjez.jpg,,Waist Watchers,,Waist Watchers Diet Black Cherry 2L,Waist Watchers Diet Black Cherry 2L,Waist Watchers Diet Black Cherry 2L,,,Use config,Use config,Waist WatcherDiet Black Cherry 2L,,,Block after Info Column,,,,2.79,0,Waist WatcherDiet Black Cherry 2L,/4/1/4144xjkjez.jpg,,,,,1,2,/4/1/4144xjkjez.jpg,,2015-08-26 22:25,waist-watchers-diet-black-cherry-2l,waist-watchers-diet-black-cherry-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/4/1/4144xjkjez.jpg,Waist Watchers Diet Black Cherry 2L,1,0
6322615,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Black Cherry 2L,1,,,0,/_/d/_dsc1249.jpg,Cott Black Cherry 2L,Cott,,Cott Black Cherry 2L,Cott Black Cherry 2L,Cott Black Cherry 2L,,,Use config,Use config,Cott Black Cherry 2L,,,Block after Info Column,,,,1.69,0,Cott Black Cherry 2L,/_/d/_dsc1249.jpg,Cott Black Cherry 2L,,,,1,2,/_/d/_dsc1249.jpg,Cott Black Cherry 2L,2015-08-26 22:25,cott-black-cherry-2l,cott-black-cherry-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1249.jpg,Cott Black Cherry 2L,1,0
1419553,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Cola 2L,1,,,0,/2/l/2lcola_1160_365x365.jpg,,Cott,,Cott Cola 2L,Cott Cola 2L,Cott Cola 2L,,,Use config,Use config,Cott Cola 2L,,,Block after Info Column,,,,1.69,0,Cott Cola 2L,/2/l/2lcola_1160_365x365.jpg,,,,,1,2,/2/l/2lcola_1160_365x365.jpg,,2015-08-26 22:25,cott-cola-2l,cott-cola-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/2/l/2lcola_1160_365x365.jpg,Cott Cola 2L,1,0
3337031,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Diet Cola 2L,1,,,0,/2/l/2ldtcola_1162_365x365.jpg,,Cott,,Cott Diet Cola 2L,Cott Diet Cola 2L,Cott Diet Cola 2L,,,Use config,Use config,Cott Diet Cola 2L,,,Block after Info Column,,,,1.69,0,Cott Diet Cola 2L,/2/l/2ldtcola_1162_365x365.jpg,,,,,1,2,/2/l/2ldtcola_1162_365x365.jpg,,2015-08-26 22:25,cott-diet-cola-2l,cott-diet-cola-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/2/l/2ldtcola_1162_365x365.jpg,Cott Diet Cola 2L,1,0
7689818,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Cream Soda 2L,1,,,0,/c/o/cott_csds5.jpg,,Cott,,Cott Cream Soda 2L,Cott Cream Soda 2L,Cott Cream Soda 2L,,,Use config,Use config,Cott Cream Soda 2L,,,Block after Info Column,,,,1.69,0,Cott Cream Soda 2L,/c/o/cott_csds5.jpg,,,,,1,2,/c/o/cott_csds5.jpg,,2015-08-26 22:25,cott-cream-soda-2l,cott-cream-soda-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/c/o/cott_csds5.jpg,Cott Cream Soda 2L,1,0
5030674,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Orange 2L,1,,,0,/3/9/391-thickbox_default.jpg,,Cott,,Cott Orange 2L,Cott Orange 2L,Cott Orange 2L,,,Use config,Use config,Cott Orange 2L,,,Block after Info Column,,,,1.69,0,Cott Orange 2L,/3/9/391-thickbox_default.jpg,,,,,1,2,/3/9/391-thickbox_default.jpg,,2015-08-26 22:25,cott-orange-2l,cott-orange-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/3/9/391-thickbox_default.jpg,Cott Orange 2L,1,0
9263628,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Diet Ginger Ale 2L,1,,,0,/_/d/_dsc1254.jpg,Cott Diet Ginger Ale 2L,Cott,,Cott Diet Ginger Ale 2L,Cott Diet Ginger Ale 2L,Cott Diet Ginger Ale 2L,,,Use config,Use config,Cott Diet Ginger Ale 2L,,,Block after Info Column,,,,1.69,0,Cott Diet Ginger Ale 2L,/_/d/_dsc1254.jpg,Cott Diet Ginger Ale 2L,,,,1,2,/_/d/_dsc1254.jpg,Cott Diet Ginger Ale 2L,2015-08-26 22:25,cott-diet-ginger-ale-2l,cott-diet-ginger-ale-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1254.jpg,Cott Diet Ginger Ale 2L,1,0
5533300,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Citron Limeup 2L,1,,,0,/_/d/_dsc1253.jpg,Cott Citron Limeup 2L,Cott,,Cott Citron Limeup 2L,Cott Citron Limeup 2L,Cott Citron Limeup 2L,,,Use config,Use config,Cott Citron Limeup 2L,,,Block after Info Column,,,,1.69,0,Cott Citron Limeup 2L,/_/d/_dsc1253.jpg,Cott Citron Limeup 2L,,,,1,2,/_/d/_dsc1253.jpg,Cott Citron Limeup 2L,2015-08-26 22:25,cott-citron-limeup-2l,cott-citron-limeup-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1253.jpg,Cott Citron Limeup 2L,1,0
6142583,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-05 19:14,,,,,Cott Club Soda 2L,1,,,0,/_/d/_dsc1250.jpg,Cott Club Soda 2L,Cott,,Cott Club Soda 2L,Cott Club Soda 2L,Cott Club Soda 2L,,,Use config,Use config,Cott Club Soda 2L,,,Block after Info Column,,,,1.69,0,Cott Club Soda 2L,/_/d/_dsc1250.jpg,Cott Club Soda 2L,,,,1,2,/_/d/_dsc1250.jpg,Cott Club Soda 2L,2015-08-26 22:25,cott-club-soda-2l,cott-club-soda-2l.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1250.jpg,Cott Club Soda 2L,1,0
7097967,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Cream Soda 355ml,1,,,0,/_/d/_dsc1527.jpg,,Dr Brown's,,Dr Brown's Cream Soda 355ml,Dr Brown's Cream Soda 355ml,Dr Brown's Cream Soda 355ml,,,Use config,Use config,Dr Brown's Cream Soda 355ml,,,Block after Info Column,,,,0.99,0,Dr Brown's Cream Soda 355ml,/_/d/_dsc1527.jpg,,,,,1,2,/_/d/_dsc1527.jpg,,2015-08-26 22:25,cream-soda,cream-soda.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1527.jpg,Cream Soda,1,0
9777700,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Cream Soda 6 Pack 355ml,1,,,0,/_/d/_dsc1527.jpg,,Dr Brown's,,Dr Brown's Cream Soda 6 Pack 355ml,Dr Brown's Cream Soda 6 Pack 355ml,Dr Brown's Cream Soda 6 Pack 355ml,,,Use config,Use config,Dr Brown's Cream Soda 6 Pack 355ml,,,Block after Info Column,,,,5.94,0,Dr Brown's Cream Soda 6 Pack 355ml,/_/d/_dsc1527.jpg,,,,,1,2,/_/d/_dsc1527.jpg,,2015-08-26 22:25,cream-soda-6-pack,cream-soda-6-pack.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1527.jpg, Cream Soda 6 Pack,1,0
3689193,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Black Cherry 355ml,1,,,0,/_/d/_dsc1528.jpg,,Dr Brown's,,Dr Brown's Black Cherry 355ml,Dr Brown's Black Cherry 355ml,Dr Brown's Black Cherry 355ml,,,Use config,Use config,Dr Brown's Black Cherry 355ml,,,Block after Info Column,,,,0.99,0,Dr Brown's Black Cherry 355ml,/_/d/_dsc1528.jpg,,,,,1,2,/_/d/_dsc1528.jpg,,2015-08-26 22:25,black-cherry,black-cherry.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1528.jpg,Black Cherry,1,0
7987574,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Black Cherry 6 Pack 355ml,1,,,0,/_/d/_dsc1528.jpg,,Dr Brown's,,Dr Brown's Black Cherry 6 Pack 355ml,Dr Brown's Black Cherry 6 Pack 355ml,Dr Brown's Black Cherry 6 Pack 355ml,,,Use config,Use config,Dr Brown's Black Cherry 6 Pack 355ml,,,Block after Info Column,,,,5.94,0,Dr Brown's Black Cherry 6 Pack 355ml,/_/d/_dsc1528.jpg,,,,,1,2,/_/d/_dsc1528.jpg,,2015-08-26 22:25,black-cherry-6-pack,black-cherry-6-pack.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1528.jpg,Black Cherry 6 Pack,1,0
7760235,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Diet Black Cherry 355ml,1,,,0,/_/d/_dsc1529.jpg,,Dr Brown's,,Dr Brown's Diet Black Cherry 355ml,Dr Brown's Diet Black Cherry 355ml,Dr Brown's Diet Black Cherry 355ml,,,Use config,Use config,Dr Brown's Diet Black Cherry 355ml,,,Block after Info Column,,,,0.99,0,Dr Brown's Diet Black Cherry 355ml,/_/d/_dsc1529.jpg,,,,,1,2,/_/d/_dsc1529.jpg,,2015-08-26 22:25,diet-black-cherry,diet-black-cherry.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1529.jpg,Diet Black Cherry,1,0
9887993,,Default,simple,Beverages/Soft Drinks,Default Category,base,,,,2015-01-19 21:36,,,,,Dr Brown's Diet Black Cherry 6 Pack 355ml,1,,,0,/_/d/_dsc1529.jpg,,Dr Brown's,,Dr Brown's Diet Black Cherry 6 Pack 355ml,Dr Brown's Diet Black Cherry 6 Pack 355ml,Dr Brown's Diet Black Cherry 6 Pack 355ml,,,Use config,Use config,Dr Brown's Diet Black Cherry 6 Pack 355ml,,,Block after Info Column,,,,5.94,0,Dr Brown's Diet Black Cherry 6 Pack 355ml,/_/d/_dsc1529.jpg,,,,,1,2,/_/d/_dsc1529.jpg,,2015-08-26 22:25,diet-black-cherry-6-pack,diet-black-cherry-6-pack.html,,4,,0,0,1,0,0,1,1,1,0,1,0,,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/_/d/_dsc1529.jpg,Diet Black Cherry 6 Pack,1,0